KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001100001,T001100002,T001100003,T001100004,T001100005,T001100006,T001100007,T001100008,T001100009,T001100010,T001100011,T001100012,T001100013,T001100014,T001100015,T001100016,T001100017,T001100018,T001100019,T001100020,T001100021,T001100022,T001100023,T001100024,T001100025,T001100026,T001100027,T001100028,T001100029,T001100030,T001100031,T001100032,T001100033,T001100034,T001100035,T001100036,T001100037,T001100038,T001100039,T001100040,T001100041,T001100042,T001100043,T001100044,T001100045,T001100046,T001100047,T001100048,T001100049,T001100050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
53391023,0,,,135,73,62,3,1,2,130,71,59,85,49,36,127,71,56,125,70,55,45,22,23,25,10,15,11,4,7,1,1,0,4,2,2,61,45,11,12,12,5,2,3,0,34,22,12,0,28,0,1,7
53391033,1,,53391034,175,67,108,5,4,1,169,62,107,37,22,15,169,62,107,169,62,107,132,40,92,103,27,76,67,12,55,6,0,6,1,1,0,41,39,24,6,5,1,2,1,0,15,11,4,1,20,1,7,3
53391034,2,53391033,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53391044,0,,,13,6,7,1,0,1,12,6,6,7,4,3,11,5,6,11,5,6,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,2,1,0,0,1,0,4,2,2,0,3,0,0,1
53391054,1,,53391065,16,9,7,3,2,1,14,7,7,10,6,4,14,7,7,14,7,7,4,1,3,4,1,3,2,0,2,0,0,0,0,0,0,4,4,2,0,0,0,3,0,0,3,1,2,1,3,0,1,0
53391065,2,53391054,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53391108,2,53391119,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53391109,0,,,46,26,20,2,1,1,44,25,19,18,13,5,43,24,19,42,23,19,26,12,14,14,7,7,5,2,3,0,0,0,0,0,0,22,22,7,9,4,1,1,0,0,15,12,3,0,17,0,4,5
53391119,1,,53391108;53391156;53391187;53391197,72,38,34,5,1,4,83,45,38,37,23,14,82,44,38,80,43,37,46,22,24,25,10,15,5,3,2,0,0,0,0,0,0,24,24,9,15,3,3,3,1,1,26,18,8,0,29,0,7,8
53391156,2,53391119,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53391187,2,53391119,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53391197,2,53391119,,1,1,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
53391200,0,,,331,161,170,26,16,10,305,145,160,134,75,59,302,144,158,302,144,158,171,70,101,103,39,64,45,12,33,5,3,2,1,0,1,113,112,19,40,36,10,4,1,2,93,73,20,5,77,0,11,17
53391201,0,,,392,174,218,27,19,8,365,155,210,163,86,77,352,149,203,348,146,202,202,69,133,149,47,102,73,15,58,16,2,14,0,0,0,128,126,29,46,22,19,9,1,0,97,87,10,6,81,1,22,28
53391202,0,,,161,91,70,12,6,6,141,77,64,60,35,25,140,77,63,137,76,61,81,42,39,47,24,23,26,10,16,1,0,1,1,1,0,66,65,40,10,6,6,1,2,0,25,22,3,4,29,0,14,7
53391203,0,,,1042,538,504,109,50,59,906,462,444,559,299,260,877,447,430,865,442,423,347,163,184,161,64,97,57,21,36,4,0,4,13,9,4,442,441,146,124,80,63,22,3,3,290,251,39,35,236,6,73,62
53391204,0,,,340,180,160,37,23,14,303,157,146,180,104,76,295,151,144,290,149,141,123,53,70,56,23,33,12,4,8,0,0,0,0,0,0,120,120,15,40,30,24,8,2,1,104,87,17,8,80,1,11,22
53391205,0,,,289,150,139,23,10,13,266,140,126,179,101,78,262,136,126,255,133,122,87,39,48,45,24,21,11,5,6,2,1,1,0,0,0,75,74,7,25,16,13,12,1,0,67,55,12,7,47,0,5,13
53391206,0,,,4405,2246,2159,610,304,306,3745,1920,1825,2633,1424,1209,3629,1860,1769,3554,1816,1738,1112,496,616,580,245,335,198,74,124,15,5,10,78,44,34,1956,1955,670,591,337,267,75,10,5,1261,1186,75,182,740,92,211,263
53391207,0,,,7230,3857,3373,821,430,391,6312,3380,2932,4760,2673,2087,6149,3304,2845,6029,3244,2785,1552,707,845,764,327,437,208,73,135,10,2,8,370,198,172,3593,3574,1708,862,497,376,107,18,6,1821,1702,119,265,970,480,267,325
53391208,0,,,477,220,257,27,14,13,442,203,239,237,128,109,432,198,234,425,194,231,205,75,130,142,40,102,79,18,61,15,2,13,3,2,1,159,156,53,36,27,27,10,3,0,101,85,16,8,79,6,23,13
53391209,0,,,1598,834,764,197,99,98,1386,727,659,869,479,390,1349,709,640,1319,691,628,517,248,269,201,98,103,41,18,23,6,2,4,33,19,14,726,725,268,211,126,88,26,4,2,449,425,24,42,333,35,88,123
53391212,0,,,46,24,22,0,0,0,46,24,22,22,14,8,46,24,22,45,24,21,24,10,14,12,4,8,4,0,4,1,0,1,0,0,0,19,19,3,10,3,2,0,1,0,15,12,3,0,16,0,1,6
53391213,0,,,1196,578,618,128,60,68,1067,517,550,562,301,261,1030,494,536,1000,476,524,505,216,289,327,129,198,131,35,96,20,2,18,2,0,2,333,331,55,88,78,70,33,5,2,274,236,38,22,175,1,31,47
53391214,0,,,261,123,138,20,9,11,241,114,127,103,50,53,236,113,123,232,111,121,138,64,74,97,40,57,26,12,14,1,0,1,0,0,0,64,62,9,19,14,10,6,3,1,53,43,10,3,41,1,7,9
